"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Legal Name","Record Type"
"Bar-B-Que Place & More","","Tony","Wilkie","800 Alexis Rd","Centre","AL","35960","B","Male","Owner","","80-378-4735","5 to 9","Less Than $500,000","(256) 927-3793","581208","Restaurants","581208","Restaurants","","Verified"
"Barbara Gale Mnneighborho","","Larry","Bethune Jr","2003 Early St","Montgomery","AL","36108","C+","Male","Owner","","64-108-0114","1 to 4","Less Than $500,000","(334) 593-4340","581208","Restaurants","581208","Restaurants","","Verified"
"Barbara's Country Kitchen","","Bernard","Danzey","1574 S Eufaula Ave","Eufaula","AL","36027","C","Male","Owner","","58-944-0981","1 to 4","Less Than $500,000","(334) 616-0035","581208","Restaurants","581208","Restaurants","","Verified"
"Barbecue King","","Johnny","Alston","2201 S Oates St","Dothan","AL","36301","B","Male","Owner","","73-789-5294","5 to 9","Less Than $500,000","(334) 699-1755","581208","Restaurants","581208","Restaurants","BARBECUE KING LLC","Verified"
"Barbeque Heaven","","","","119 James Madison Dr SW","Huntsville","AL","35824","U","","","","76-535-5267","","","(256) 489-1320","581208","Restaurants","581208","Restaurants","","Verified"
"Barbeque Hut","","Curtis","Turner","2842 Highway 78","Heflin","AL","36264","C","Male","Owner","","13-406-5523","1 to 4","Less Than $500,000","(256) 463-7555","581208","Restaurants","581208","Restaurants","","Verified"
"Barbeque Stop","","Clifford","Mortimer","309 Palace Dr","Trussville","AL","35173","B","Male","Owner","","42-715-9622","10 to 19","Less Than $500,000","(205) 681-5575","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Barberitos","CENTRE LANE PARTNERS LLC","Mark","Weeks","1619 Opelika Rd # 120","Auburn","AL","36830","B+","Male","Owner","","74-352-6637","10 to 19","$500,000-1 Million","(334) 887-9838","581208","Restaurants","581208","Restaurants","","Verified"
"Barberitos","CENTRE LANE PARTNERS LLC","Katie","Eubanks","100 S Appletree St # 6","Dothan","AL","36301","B+","Female","Owner","","73-175-4755","10 to 19","$500,000-1 Million","(334) 446-6450","581208","Restaurants","581208","Restaurants","","Verified"
"Bare Naked Noodles","","Brian","Vizzina","5511 Highway 280 # 109","Birmingham","AL","35242","C+","Male","Operation Exec","","73-506-4212","1 to 4","Less Than $500,000","(205) 423-5293","581208","Restaurants","581208","Restaurants","","Verified"
"Barge-N Chevron","CHEVRON CORP","","","2105 E 2nd Ave","Gulf Shores","AL","36542","B+","","","2519687773","47-237-8447","5 to 9","$5-10 Million","(251) 968-7775","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","FRENCH'S BARGE-N LLC","Verified"
"Bariachi Mexican Kitchen","","","","2032 Airport Blvd","Mobile","AL","36606","B","","","","74-635-6752","20 to 49","$1-2.5 Million","(251) 459-0404","581208","Restaurants","581208","Restaurants","","Verified"
"Bark & Barrel Bbq","","","","3414 Governors Dr SW # 535","Huntsville","AL","35805","U","","","","76-535-5257","","","(256) 678-7040","581208","Restaurants","581208","Restaurants","","Verified"
"Barking Bee Coffee","","","","4278 Main St","Pinson","AL","35126","B+","","","","78-230-6656","5 to 9","","(205) 962-0208","514908","Coffee Roasting (Whls)","514908","Coffee Roasting (Whls)","","Verified"
"Barland Crepes","","","","12969 Cottonwood Rd","Cottonwood","AL","36320","B","","","","78-256-5373","1 to 4","","(334) 653-8106","581208","Restaurants","581208","Restaurants","","Verified"
"Barnes & Noble Cafe","BARNES & NOBLE INC","","","171 Main St","Hoover","AL","35244","B","","","","44-034-2992","1 to 4","Less Than $500,000","(205) 682-4467","581228","Coffee Shops","581228","Coffee Shops","","Verified"
"Barney's Roadhouse","","Melanie","Kilgo","4405 Journey Pl","Gadsden","AL","35904","B","Female","Owner","","74-442-8635","20 to 49","$1-2.5 Million","(256) 467-3856","581208","Restaurants","581208","Restaurants","","Verified"
"Barnyard Buffet","","Nancy","Nelson","1020 Saraland Blvd S","Saraland","AL","36571","B+","Female","Owner","","67-608-5970","20 to 49","$1-2.5 Million","(251) 679-1461","581208","Restaurants","581208","Restaurants","","Verified"
"Barone's Pizza & Arcade","","Nick","Barone","2200 Gault Ave N","Fort Payne","AL","35967","B","Male","Owner","","75-375-8447","1 to 4","Less Than $500,000","(256) 979-1234","581208","Restaurants","581208","Restaurants","","Verified"
"Barone's Pizza & Arcade","","Nick","Barone","407 George Wallace Dr","Gadsden","AL","35903","B","Male","Owner","","75-374-2851","1 to 4","Less Than $500,000","(256) 543-8295","581208","Restaurants","581208","Restaurants","","Verified"
"Barranco Enterprises LLC","BARRANCO ENTERPRISES LLC","David","Barranco","3815 Interstate Ct # 102b","Montgomery","AL","36109","B","Male","Owner","3342776593","45-628-6103","5 to 9","","(334) 277-6590","581220","Restaurant Management","581220","Restaurant Management","BARRANCO ENTERPRISES LLC","Verified"
"Barrentine Fish Mkt-Oyster Bar","","Kevin","Floyd","1722 Reeves St","Dothan","AL","36303","B","Male","Owner","","13-409-4895","1 to 4","$1-2.5 Million","(334) 792-3466","514601","Seafood-Wholesale","514601","Seafood-Wholesale","","Verified"
"Barrija's Grill","","Zosimo","Lara","402 1st Ave E","Reform","AL","35481","B","Male","Owner","","40-235-3673","5 to 9","Less Than $500,000","(205) 375-2434","581208","Restaurants","581208","Restaurants","","Verified"
"Barrio Fiesta Mexican Grill","","Javier","Meledez","710 Colonial Promenade Pkwy","Alabaster","AL","35007","B","Male","Manager","","75-958-1578","5 to 9","Less Than $500,000","(205) 621-8997","581208","Restaurants","581208","Restaurants","","Verified"
"Barry Marsh","","Barry","Marsh","1570 Forestdale Blvd","Birmingham","AL","35214","B","Male","Site Manager","","49-603-2855","1 to 4","Less Than $500,000","(205) 798-0610","581208","Restaurants","581208","Restaurants","","Verified"
"Barry' S BBQ","","","","12475 US Highway 431","Sardis City","AL","35956","C+","","","","74-075-2953","1 to 4","Less Than $500,000","(256) 281-9933","581208","Restaurants","581208","Restaurants","","Verified"
"Barvista","","","","435 Williams Ave SW # 2","Huntsville","AL","35801","B+","","","","76-535-5251","10 to 19","","(256) 664-0034","581208","Restaurants","581208","Restaurants","","Verified"
"Basket Case Cafe","","Rick","Balzaratti","228 S Oates St # 1","Dothan","AL","36301","B+","Male","Owner","3346711117","80-338-0906","10 to 19","Less Than $500,000","(334) 671-1117","581212","Caterers","581212","Caterers","BASKETCASE LLC","Verified"
"Baskin-Robbins","ROARK CAPITAL GROUP","","","8171 US Highway 431","Albertville","AL","35950","A","","","","78-061-7745","10 to 19","","(256) 202-7979","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","Verified"
"Baskin-Robbins","ROARK CAPITAL GROUP","","","2148 Sweeney Hollow Rd","Birmingham","AL","35215","B+","","","","78-061-7729","5 to 9","","(205) 419-9949","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","Verified"
"Baskin-Robbins","ROARK CAPITAL GROUP","","","1024 6th Ave SE","Decatur","AL","35601","B","","","","74-622-3159","5 to 9","Less Than $500,000","(256) 960-9349","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","Verified"
"Baskin-Robbins","ROARK CAPITAL GROUP","Shannon","Pelhan","3064 Ross Clark Cir","Dothan","AL","36301","B+","Female","Site Manager","","90-675-8446","5 to 9","Less Than $500,000","(334) 792-8221","581203","Ice Cream Parlors","581203","Ice Cream Parlors","BASKIN-ROBBINS","Verified"
"Baskin-Robbins","ROARK CAPITAL GROUP","Matthew","Ferguson","5000 Whitesburg Dr SW # 156","Huntsville","AL","35802","B+","Male","Owner","","48-733-6844","5 to 9","Less Than $500,000","(256) 881-7920","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","Verified"
"Baskin-Robbins","ROARK CAPITAL GROUP","","","700 Quintard Dr","Oxford","AL","36203","B+","","","","77-790-3116","5 to 9","","(256) 831-0702","581203","Ice Cream Parlors","581203","Ice Cream Parlors","","Verified"
"Bates House Of Turkey","","Becky","Sloane","1001 Fort Dale Rd","Greenville","AL","36037","A","Female","Owner","3343828949","13-394-2524","20 to 49","$500,000-1 Million","(334) 382-6123","581208","Restaurants","581208","Restaurants","","Verified"
"Batter Up","","Jason","Lindsey","507 US Highway 80 W # 3","Demopolis","AL","36732","B","Male","Owner","","61-891-2489","5 to 9","Less Than $500,000","(334) 287-1222","581208","Restaurants","581208","Restaurants","","Verified"
"Battle House Renaissance","MARRIOTT INTERNATIONAL INC","Rodney","Middlebrooks","26 N Royal St","Mobile","AL","36602","A","Male","Manager","2513385428","60-357-2272","100 to 249","$20-50 Million","(251) 338-2000","701101","Hotels & Motels","701101","Hotels & Motels","","Verified"
"Baudean's","","Jacklyn","Graham","3300 River Rd","Theodore","AL","36582","B+","Female","Owner","","88-813-2602","5 to 9","Less Than $500,000","(251) 973-9070","581208","Restaurants","581208","Restaurants","BAUDEANS FOOD SVC INC","Verified"
"Baumhower's Restaurant","","William","Warnick","1001 Doug Baker Blvd","Birmingham","AL","35242","A","Male","Director","2059916482","89-494-6524","50 to 99","$2.5-5 Million","(205) 995-5151","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhower's Victory Grill","","Danita","Billups","2353 Bent Creek Rd # 120","Auburn","AL","36830","B+","Female","Manager","","72-235-1306","50 to 99","$2.5-5 Million","(334) 246-4180","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhower's Victory Grille","","Adam","Rohade","6880 US Highway 90 # 14","Daphne","AL","36526","A","Male","General Mgr","2516251875","21-486-9232","100 to 249","$5-10 Million","(251) 625-4695","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhower's Victory Grille","","Xaviar","Crawley","2309 Memorial Pkwy SW","Huntsville","AL","35801","A","Male","Manager","2568819115","89-894-8526","100 to 249","$5-10 Million","(256) 881-8878","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhower's Victory Grille","","Craig","Murdock","2465 Eastern Blvd","Montgomery","AL","36117","A","Male","Manager","3342711062","98-345-2285","50 to 99","$2.5-5 Million","(334) 271-1831","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhower's Victory Grille","","Neil","Hollingshead","4251 Courtney Dr","Tuscaloosa","AL","35405","A","Male","General Mgr","2055565639","90-074-8591","100 to 249","$2.5-5 Million","(205) 556-5658","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhower's Wings Restaurant","","Craig","Parker","4445 Creekside Ave # 161","Hoover","AL","35244","A","Male","Manager","","25-486-5454","50 to 99","$2.5-5 Million","(205) 403-7474","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhowers Victory Grill","","","","1270 Montgomery Hwy","Vestavia Hills","AL","35216","B","","","","74-796-4636","1 to 4","Less Than $500,000","Not Available","581208","Restaurants","581208","Restaurants","","Verified"
"Baumhowers Victory Grille","","Harvey","Wells","500 Harper Lee Dr","Tuscaloosa","AL","35404","B+","Male","Manager","","42-657-6430","50 to 99","$2.5-5 Million","(205) 409-9922","581208","Restaurants","581208","Restaurants","","Verified"
"Bawarchi Indian Cuisine","BAWARCHI GROUP OF RESTAURANTS","","","2798 John Hawkins Pkwy # 108","Hoover","AL","35244","A","","","","75-831-3289","10 to 19","","(205) 549-3374","581208","Restaurants","581208","Restaurants","","Verified"
"Bay Breeze Cafe","","Julie","Tew","50 S Church St # D","Fairhope","AL","36532","C+","Female","Owner","","65-724-3564","1 to 4","Less Than $500,000","(251) 990-0294","581208","Restaurants","581208","Restaurants","","Verified"
"Bay City Grill","","Mark","Corington","5675 Highway 43","Satsuma","AL","36572","B","Male","Owner","","42-227-9985","10 to 19","Less Than $500,000","(251) 675-0360","581208","Restaurants","581208","Restaurants","","Verified"
"Bay House Bistro LLC","","","","151 S Mobile St","Fairhope","AL","36532","B","","","","72-638-9245","10 to 19","$500,000-1 Million","(251) 270-7205","581208","Restaurants","581208","Restaurants","BAY HOUSE BISTRO LLC","Verified"
"Bay Leaf Southside","","","","1024 20th St S","Birmingham","AL","35205","C+","","","","74-454-4132","5 to 9","Less Than $500,000","(205) 777-3070","581208","Restaurants","581208","Restaurants","","Verified"
"Bayles Catering Svc LLC","","","","5831 1st Ave N # 300","Birmingham","AL","35212","B","","","","42-536-4575","5 to 9","Less Than $500,000","(205) 538-5101","581208","Restaurants","581208","Restaurants","BAYLES CATERING SVC LLC","Verified"
"Bayley's Carryout Seafood","","Bill","Bayley","10660 Riverview Nursery Rd","Theodore","AL","36582","B","Male","Owner","","49-302-3931","5 to 9","Less Than $500,000","(251) 973-1572","581208","Restaurants","581208","Restaurants","","Verified"
"Bayou Fresh Seafood & Deli","","Juan","Vhu","217 N Walston Bridge Rd","Jasper","AL","35504","B+","Male","Owner","","42-115-3489","5 to 9","$500,000-1 Million","(205) 221-3400","542101","Seafood-Retail","542101","Seafood-Retail","","Verified"
"Bayou Rouge Caf+","","","","1205 Alabama Ave","Selma","AL","36703","B","","","","78-230-6946","5 to 9","","(334) 431-9844","581206","Foods-Carry Out","581206","Foods-Carry Out","","Verified"
"Bayou Seafood","","Johnnie","Carpenter","1350 N Wintzell Ave","Bayou La Batre","AL","36509","C","Male","Owner","","42-583-9307","1 to 4","Less Than $500,000","(251) 824-2248","581208","Restaurants","581208","Restaurants","","Verified"
"Bayside Grill","","Beth","Hargett","1 Grand Blvd","Point Clear","AL","36564","B+","Female","Exec Director","","60-798-5538","10 to 19","$500,000-1 Million","(251) 990-6300","581208","Restaurants","581208","Restaurants","","Verified"
"BB King's Blues Club","","","","1801 Eddie Tullis Dr","Montgomery","AL","36117","U","","","","41-513-6888","10 to 19","","(334) 514-5247","581208","Restaurants","581208","Restaurants","","Verified"
"BBQ 65","","Michelle","Dailey","2391 Pineapple Hwy","Greenville","AL","36037","C+","Female","Manager","","42-657-6168","1 to 4","Less Than $500,000","(334) 371-5826","581208","Restaurants","581208","Restaurants","","Verified"
"BBQ Haven","","","","1103 Boll Weevil Cir","Enterprise","AL","36330","B","","","","77-017-1279","5 to 9","","(334) 417-0685","581208","Restaurants","581208","Restaurants","","Verified"
"BBQ Hometown","","Tim","Hill","33684 US Highway 280","Childersburg","AL","35044","B","Male","Owner","","68-552-7418","5 to 9","Less Than $500,000","(256) 378-1223","581208","Restaurants","581208","Restaurants","HOMETOWN BBQ & GRILL LLC","Verified"
"BBQ House","","","","752 Highway 165","Fort Mitchell","AL","36856","B","","","","25-941-7509","5 to 9","Less Than $500,000","(334) 855-9001","581208","Restaurants","581208","Restaurants","","Verified"
"BBQ House","","Barbara","Mcquagge","27043 US Highway 231","Troy","AL","36081","C+","Female","Owner","","24-617-2043","1 to 4","Less Than $500,000","(334) 566-6330","581208","Restaurants","581208","Restaurants","","Verified"
"BBQ Shop","","Pat","Russell","3710 E Willow St","Scottsboro","AL","35768","C+","Male","Owner","","25-873-3161","1 to 4","Less Than $500,000","(256) 259-2090","581208","Restaurants","581208","Restaurants","BBQ SHOP INC","Verified"
"Bcbs-Al","","Nicolle","Rutledge","450 Riverchase Pkwy E","Hoover","AL","35244","C+","Female","Finance","","72-465-6166","5 to 9","Less Than $500,000","(205) 220-2100","581208","Restaurants","581208","Restaurants","","Verified"
"Beach House","","Erica","Sexton","1154 West Beach Blvd","Gulf Shores","AL","36542","B+","Female","Owner","","70-664-9750","20 to 49","$1-2.5 Million","(251) 948-2431","581208","Restaurants","581208","Restaurants","","Verified"
"Beacon430-GEN1814 LLC","","John D","Blanchard","7020 Fain Park Dr # 5","Montgomery","AL","36117","C+","Male","Manager","","71-655-0974","1 to 4","Less Than $500,000","Not Available","581208","Restaurants","581208","Restaurants","BEACON430-GEN1814 LLC","Verified"
"Beans & Greens","","Bobby","Boles","10294 Centre Rd","Gadsden","AL","35903","B+","Female","Owner","","51-708-5536","10 to 19","$500,000-1 Million","(256) 492-3267","581208","Restaurants","581208","Restaurants","BEANS & GREENS LLC","Verified"
"Bear Creek On The Trail","","Ron","Fillingham","231 Creekside Dr","Cherokee","AL","35616","B","Male","Owner","","73-601-9638","10 to 19","$500,000-1 Million","(256) 360-2324","581208","Restaurants","581208","Restaurants","","Verified"
"Bear Den","","James","Hammond","140 George Wallace","Lexington","AL","35648","B","Male","Owner","","62-006-7769","5 to 9","Less Than $500,000","(256) 229-5599","581208","Restaurants","581208","Restaurants","","Verified"
"Bear Point Marina Store","","Craig","Reaves","5749 Bay LA Launch Ave","Orange Beach","AL","36561","C+","Male","Owner","2519813992","98-759-1021","5 to 9","$500,000-1 Million","(251) 981-2327","449306","Marinas","449306","Marinas","BEAR POINT MARINA & RESORT LLC","Verified"
"Beautiful Rainbow Cafe","","","","254 College St","Gadsden","AL","35901","C+","","","","73-770-6518","5 to 9","Less Than $500,000","(256) 390-1999","581208","Restaurants","581208","Restaurants","","Verified"
"Becca's Bistro","","Rebecca","Satterfield","104 Adams St","Stevenson","AL","35772","C","Female","Owner","","72-621-6681","1 to 4","Less Than $500,000","(256) 663-2187","581208","Restaurants","581208","Restaurants","","Verified"
"Becchia","","Benard","Tanburllo","610 Preserve Pkwy","Hoover","AL","35226","B+","Male","Manager","","70-528-3048","20 to 49","$500,000-1 Million","(205) 637-3036","581208","Restaurants","581208","Restaurants","","Verified"
"Becky's Bar","","Becky","Mohler","55 Hickory Tree Ln","Daleville","AL","36322","B","Female","Owner","","64-273-8058","1 to 4","Less Than $500,000","(334) 503-1219","581208","Restaurants","581208","Restaurants","","Verified"
"Bee Gees Restaurant","","Brent","Rains","1105 Baltimore Ave","Albertville","AL","35950","B+","Male","Owner","","70-066-0442","10 to 19","$500,000-1 Million","(256) 878-9294","581208","Restaurants","581208","Restaurants","","Verified"
"Bee ZR","","Ron","Jewell","109 Northside Sq","Huntsville","AL","35801","A","Male","Owner","","75-830-8702","20 to 49","Less Than $500,000","(256) 427-2500","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","","","5279 Highway 280","Birmingham","AL","35242","A","","","","77-003-4329","10 to 19","","(205) 637-6662","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","George","Mccluney","5279 US 280","Birmingham","AL","35242","A","Male","Owner","","76-257-4638","20 to 49","","(205) 637-6661","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","Trey","Mobley","2743 Montgomery Hwy # 1010","Dothan","AL","36303","A","Male","Site Manager","3346780851","54-444-7105","20 to 49","$500,000-1 Million","(334) 678-0010","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","Trey","Mobley","621 Boll Weevil Cir # 32a","Enterprise","AL","36330","A","Male","Owner","3343473831","63-188-2370","20 to 49","$500,000-1 Million","(334) 348-9464","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","George","Mccluney","4300 Helena Rd","Helena","AL","35080","B+","Male","Owner","","72-349-7486","20 to 49","$1-2.5 Million","(205) 624-2333","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","George","Mccluney","5519 Grove Blvd # 109","Hoover","AL","35226","B+","Male","Owner","2059884053","40-220-9124","10 to 19","Less Than $500,000","(205) 987-9464","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","Todd","Wysong","4419 Rangeline Rd","Mobile","AL","36619","B+","Male","Manager","","42-793-2772","20 to 49","$500,000-1 Million","(251) 661-3346","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","Kim","Hyde","2776 Legends Pkwy","Prattville","AL","36066","A","Female","Owner","3342909964","67-207-6239","20 to 49","$1-2.5 Million","(334) 290-9962","581208","Restaurants","581208","Restaurants","","Verified"
"Beef'O'Brady's","LEVINE LEICHTMAN CAPITAL","Linda","Kessler","8495 Spanish Fort Blvd # J","Spanish Fort","AL","36527","A","Female","Owner","2514470104","62-384-4776","20 to 49","$1-2.5 Million","(251) 447-0660","581208","Restaurants","581208","Restaurants","","Verified"
"Beeker Catfish & Cattle Farm","","","","218 Main St","Eutaw","AL","35462","B","","","","72-137-7393","5 to 9","Less Than $500,000","Not Available","581208","Restaurants","581208","Restaurants","","Verified"
"Beijing Express","","Zhimin","Yan","3659 Lorna Rd # 161","Hoover","AL","35216","B","Female","Owner","","42-579-0909","5 to 9","Less Than $500,000","(205) 982-9688","581208","Restaurants","581208","Restaurants","","Verified"
"Beli","","","","","Gulf Shores","AL","36542","B+","","","","76-535-5362","10 to 19","","(251) 224-1053","581208","Restaurants","581208","Restaurants","","Verified"
"Belk Kountry Kitchen","","Lisa","Roberts","6885 Highway 96","Fayette","AL","35555","C+","Female","Owner","","89-487-8024","1 to 4","Less Than $500,000","(205) 932-5145","581208","Restaurants","581208","Restaurants","","Verified"
"Bell Peppers","","","","144 River Square Shopping Ctr","Bessemer","AL","35023","B+","","","","75-832-1351","5 to 9","","(205) 436-8500","581208","Restaurants","581208","Restaurants","","Verified"
"Bellgs Stoked On Smoke BBQ","","","","","Trussville","AL","35173","U","","","","76-535-5122","","","(205) 667-3197","581208","Restaurants","581208","Restaurants","","Verified"
"Bellini's Ristorante & Bar","","Benard","Tamburello","6801 Cahaba Valley Rd # 106","Hoover","AL","35242","B+","Male","Owner","","66-434-0049","20 to 49","$500,000-1 Million","(205) 981-5380","581208","Restaurants","581208","Restaurants","","Verified"
"Belly Food Truck","","","","","Huntsville","AL","35801","B+","","","","76-535-5246","10 to 19","","(810) 836-6433","581208","Restaurants","581208","Restaurants","","Verified"
"Belly Full Pizza","","Keri","Lawford","990 Alabama Highway 203","Elba","AL","36323","C+","Female","Manager","","40-334-4068","1 to 4","Less Than $500,000","(334) 853-0154","581222","Pizza","581222","Pizza","","Verified"
"Ben Jiang Zheng","","","","12060 County Line Rd","Madison","AL","35756","B","","","","66-946-5122","5 to 9","Less Than $500,000","(256) 232-9878","581208","Restaurants","581208","Restaurants","","Verified"
"Benbeck II Inc","","","","522 Geneva Hwy","Enterprise","AL","36330","C+","","","","73-784-0365","5 to 9","Less Than $500,000","Not Available","581208","Restaurants","581208","Restaurants","BENBECK II INC","Verified"
"Benja's Thai & Sushi Rstrnt","","Benja","Tripatch","1281 Hillcrest Rd","Mobile","AL","36695","B","Male","Owner","","71-504-4100","5 to 9","Less Than $500,000","(251) 661-5100","581208","Restaurants","581208","Restaurants","","Verified"
"Benny Greer","","","","2818 Magnolia St","Lincoln","AL","35096","B","","","","43-692-0104","5 to 9","Less Than $500,000","(205) 763-1599","581208","Restaurants","581208","Restaurants","","Verified"
"Bent Brook Golf Club","","James C","Lee","7900 Dickey Springs Rd","Bessemer","AL","35022","I","Male","Owner","2054289625","80-303-7381","100 to 249","$5-10 Million","(205) 424-2368","864108","Clubs","864108","Clubs","","Verified"
